,0,1,2,3
371,81.0,10.0,9.811843,4.0
372,22.0,7.0,8.689373,0.0
373,40.0,10.0,14.130897,0.0
374,31.0,9.0,9.105107,0.0
375,40.0,5.0,17.650677,0.0
376,30.0,22.0,6.167206,0.0
377,63.0,12.0,5.784634,0.0
378,66.0,7.0,9.260875,0.0
379,65.0,19.0,13.352273,0.0
380,85.0,18.0,4.818639,4.0
381,69.0,15.0,9.225092,0.0
382,61.0,4.0,9.988249,0.0
383,97.0,13.0,5.284761,4.0
384,68.0,16.0,28.756219,0.0
385,164.0,14.0,11.805847,1.0
386,65.0,18.0,6.407246,0.0
387,38.0,22.0,5.365368,0.0
388,48.0,14.0,10.674806,0.0
